question,correct,wrong1,wrong2,blank_sentence,original_context,context_translation
〜と一致して / 〜に沿って,in alignment with,in contrast to,regardless of,Treatment strategies were updated [   ] current international guidelines.,"These rules aim to improve the interpretability of AST reports and support a more targeted antibiotic therapy in alignment with recent recommendations, with the goals to optimize the use of antibiotics, limit the emergence of resistance, and maintain patient safety.",これらのルールは、抗菌薬使用の最適化、耐性菌出現の抑制、患者の安全維持を目的として、最近の推奨事項に沿ったより標的を絞った抗菌薬療法をサポートし、ASTレポートの解釈可能性を向上させることを目指している。
これらの知見の汎用性（一般化可能性）を制限する,limits the generalizability of these findings,enhances the clinical utility of the study,confirms the universal applicability of the results,The small sample size from a single medical center inherently [   ].,"However, only a limited number of OXA-48-like producers ( n = 19) were included in that study, reflecting their low prevalence in the United States, which limits the generalizability of these findings to other epidemiological contexts.",しかし、その研究に含まれたOXA-48様産生菌は僅かな数（n = 19）にとどまり、これは米国における流行度の低さを反映しており、他の疫学的文脈へのこれらの知見の一般化可能性を制限している。
〜を迅速に開始するために不可欠である,is essential for quickly initiating,is irrelevant when considering,may be omitted prior to beginning,Early diagnosis of bloodstream infections [   ] targeted antimicrobial therapy.,Rapid and accurate identification of the causative pathogen(s) and their AMR genes in BSI is essential for quickly initiating the most appropriate antimicrobial therapy.,血流感染症における原因病原体およびその耐性遺伝子の迅速かつ正確な特定は、最も適切な抗菌薬療法を迅速に開始するために不可欠である。
〜に対して誤った安心感を与えてしまう,give false confidence in,provide definitive proof of,accurately reflect,Inaccurate laboratory testing results may [   ] the efficacy of prescribed drugs.,Failure to detect carbapenem resistance mediated by a cphA-type MBL by routine phenotypic methods can give a provider false confidence in the effectiveness of carbapenem treatment for Aeromonas spp. infections.,ルーチンの表現型検査法でcphA型MBLが介在するカルバペネム耐性を検出できないと、Aeromonas属感染症に対するカルバペネム治療の有効性に関して医療者に誤った安心感を与える可能性がある。
〜において役割を果たす,play a role in,have no effect on,be excluded from,Molecular diagnostic assays may [   ] guiding targeted therapy.,"Our study shows that the mCIM is also able to detect carbapenem resistance due to cphA in Aeromonas spp. with high sensitivity and specificity, suggesting that although it is not currently endorsed for use in Aeromonas spp. by CLSI, this test may play a role in susceptibility testing for these organisms.",我々の研究は、mCIMがAeromonas属におけるcphAによるカルバペネム耐性を高い感度と特異度で検出できることも示しており、現在CLSIによってAeromonas属への使用が推奨されていないものの、この検査がこれらの菌の薬物感受性試験において役割を果たす可能性を示唆している。
臨床的意思決定を支援する,support clinical decision-making,complicate treatment choices,delay therapeutic intervention,Rapid antimicrobial susceptibility results can significantly [   ] in intensive care units.,"Given the absence of standardized clinical guidelines for most of these methods, our goal was to compare their performance directly with rBMD and assess which method(s) could reliably support clinical decision-making in treating infections caused by MBL-producing Enterobacterales with the combination ATM plus CZA...",これらの方法の大部分について標準化された臨床ガイドラインが存在しないため、我々の目標はそれらの性能をrBMDと直接比較し、どの方法がATM＋CZA併用によるMBL産生Enterobacterales起因感染症の治療における臨床意思決定を確実に支援できるかを評価することであった。
〜の監督のもとで実施された,was conducted under the oversight of,was performed without reference to,was terminated due to,The clinical trial [   ] the local ethics committee.,This study was conducted under the oversight of the Institutional Review Boards of all participating sites and conformed to the tenets of the Declaration of Helsinki and the Health Insurance Portability and Accountability Act (HIPAA) of 1996.,本研究はすべての参加施設の施設内倫理委員会（IRB）の監督のもとで実施され、ヘルシンキ宣言および1996年公的医療保険のポータビリティと責任に関する法律（HIPAA）の主義に準拠していた。
〜の新興病原体である,is an emerging pathogen of,is a well-established harmless strain of,has been successfully eradicated from,The newly identified bacterial species [   ] growing concern worldwide.,K. variicola is an emerging pathogen of the K. pneumoniae complex that is not currently discernible from other members by automated biochemical testing.,K. variicolaは、自動生化学検査では現在のところ他の構成菌と区別できない、K. pneumoniaeコンプレックスの新興病原体である。
適切な治療法を導くために（選択するために）,to guide appropriate therapy,to reduce diagnostic sensitivity,to avoid laboratory documentation,Prompt identification of resistance genes is necessary [   ] in septic patients.,"Antimicrobial susceptibility testing is required to guide appropriate therapy, as different combinations of β-lactamases result in different susceptibility patterns, and resistance to fluoroquinolones in Aeromonas spp. is increasing.",β-ラクタマーゼの異なる組み合わせによって感受性パターンが異なり、Aeromonas属におけるフルオロキノロン耐性が増加しているため、適切な治療を導くために抗菌薬感受性試験が必要である。
〜におけるばらつき（変動性）を浮き彫りにする,highlight variability in,confirm perfect consistency among,eliminate all uncertainty regarding,These comparative results [   ] diagnostic sensitivity across laboratories.,"Our findings highlight variability in test performance, with the broth disk elution method demonstrating the highest accuracy, reproducibility, and consistency across two independent sites.",我々の知見は検査性能におけるばらつきを浮き彫りにしており、液体ディスク溶出法が2つの独立した施設間で最も高い正確度、再現性、および一貫性を示した。
〜と一致している,is consistent with,is correlated to,is contrasting with,This result [   ] previous findings in other patient populations.,This is consistent with other studies in which respiratory samples were the most common source of S. maltophilia colonization.,これは、呼吸器検体がS. maltophilia定着の最も一般的な供給源であった他の研究結果と一致している。
私たちの知る限り、これは〜された最初の研究である,"To our knowledge, this is the first","As far as we concern, this is the main","In our belief, this is the primary",[   ] study to evaluate the long-term clinical outcomes of this treatment.,"To our knowledge, this is the first state-wide point prevalence survey of S. maltophilia among patients receiving mechanical ventilation in long-term care facilities.",私たちの知る限り、これは長期ケア施設で人工呼吸器管理を受けている患者におけるS. maltophiliaの州全体での最初のポイントプレバレンス調査である。
〜であることが報告（記録）されている,It is documented that,It is suspected that,It is assumed that,[   ] the pathogen grows well under standard laboratory conditions.,"It is documented that S. maltophilia grows well under standard laboratory conditions (nutrient-rich media, 37°C), but there are limited studies comparing various microbiological methods for isolating the organism from clinical samples.",S. maltophiliaは標準的な検査条件（栄養豊富な培地、37℃）で良く生育することが報告されているが、臨床検体から本菌を分離するためのさまざまな微生物学的補法を比較した研究は限られている。
今後の研究で〜についてさらに調査されるべきである,Future studies should further investigate,Previous works might already clarify,Current data will fully explain,[   ] optimal dosing strategies and prevention methods for high-risk patients.,"Future studies should further investigate methods for isolating this organism, particularly given the growing importance of surveillance.",サーベイランスの重要性が増していることを考慮すると、今後の研究ではこの菌株を分離する方法についてさらに調査を進めるべきである。
本研究には限界がある,This study has limitations,This study lacks interest,This study excludes evidence,"[   ]. First, the sample size was relatively small.","This study has limitations. First, this point prevalence survey was limited to patients receiving mechanical ventilation in long-term care facilities and thus cannot be widely generalized to other patient populations or care settings.",本研究には限界がある。第一に、このポイントプレバレンス調査は長期ケア施設で人工呼吸器管理を受けている患者に限定されており、したがって他の患者集団やケア施設に広く一般化することはできない。
〜に応じて / 〜を受けて,In response to,In spite of,In preference to,"[   ] the increasing threat of drug resistance, new infection control guidelines were established.","In response to national and regional increases in reported C. auris, we conducted a retrospective and prospective evaluation of cases within a healthcare system...",報告されたC. aurisの全国的および地域的な増加を受けて、私たちは医療システム内の事例の後方視的および前方視的評価を実施した。
したがって〜することが極めて重要である,It is therefore critical to,It is merely optional to,It is rarely necessary to,[   ] validate these diagnostic findings within a broader clinical context.,It is therefore critical to interpret molecular findings within a broader epidemiologic context.,したがって、分子生物学的知見をより広い疫学的な文脈の中で解釈することが極めて重要である。
要約すると / まとめると,In summary,In detail,In advance,"[   ], targeted surveillance and prevention efforts are urgently needed for this patient population.","In summary, patients in long-term care facilities who are receiving mechanical ventilation are at high risk of S. maltophilia colonization and potential infection.",要約すると、長期ケア施設で人工呼吸器管理を受けている患者は、S. maltophiliaの定着および潜在的感染のハイリスク群である。
慎重な検討を必要とする,warrants careful consideration,avoids thorough inspection,rejects immediate evaluation,The potential impact of these minority subpopulations on therapeutic response [   ].,"Although the clinical significance of minority-resistant subpopulations varies by organism, host, and infection type, their existence is well established, and their potential to influence treatment response—particularly in high-risk contexts—warrants careful consideration.",少数派の耐性サブセラピーの臨床的意義は微生物、宿主、感染症の種類によって異なるものの、その存在はよく確立されており、特にハイリスクな文脈において治療反応に影響を与える可能性は慎重な検討を必要とする。
〜の必要性を強調している,underscores the need for,dismisses the demand for,diminishes the reason for,This analytical limitation [   ] more advanced diagnostic strategies.,"This limitation underscores the need for more advanced strategies, such as the use of additional mass spectral peaks and/or the application of ML techniques to enhance the detection of KPC-producing isolates.",この限界は、KPC産生株の検出を高めるための追加の質量スペクトルピークの使用や機械学習技術の応用など、より高度な戦略の必要性を強調している。
〜する可能性を秘めている,holds potential to,loses chance to,fails ability to,The development of integrated algorithms [   ] improve routine laboratory workflows.,The development of such integrated strategies holds potential to improve clinical microbiology workflows by quickly and easily informing optimal therapeutic options and strengthening antimicrobial stewardship.,このような統合戦略の開発は、最適な治療選択肢を迅速かつ容易に提供し、抗菌薬スチュワードシップを強化することによって、臨床微生物学のワークフローを改善する可能性を秘めている。
合計〜の,A total of,A fraction of,A minority of,[   ] 435 clinical isolates were evaluated in this study.,"A total of 435 clinical isolates of K. pneumoniae were analyzed in this study, including KPC-producing ( n = 237) and non-KPC-producing ( n = 198) isolates.",本研究では、KPC産生株（n = 237）および非KPC産生株（n = 198）を含む合計435株のK. pneumoniae臨床分離株が解析された。
〜の有望な戦略として浮上した,emerged as a promising strategy,disappeared as a useless concept,collapsed into a dangerous failure,The integration of advanced algorithms has [   ] for rapid disease detection.,"In recent years, integration of machine learning (ML) algorithms with MALDI-TOF MS data has emerged as a promising strategy for AMR detection.",近年、機械学習（ML）アルゴリズムとMALDI-TOF MSデータの統合は、薬剤耐性（AMR）検出のための有望な戦略として浮上してきた。
重要な公衆衛生上の懸念事項である,is a critical public health concern,is a minor local problem,is a solved medical issue,The spread of carbapenem-resistant organisms [   ] worldwide.,Carbapenem-resistant organisms (CROs) are a critical public health concern worldwide due to increasing prevalence and limited therapeutic options.,カルバペネム耐性菌（CRO）は、流行の拡大と限られた治療選択肢により、世界中で重要な公衆衛生上の懸念となっている。
〜にはいくつかの限界が存在する,There are several limitations of,There are few doubts about,There are many benefits of,[   ] this study that should be addressed in future work.,There are several limitations of this study. The study used different isolate collections that had different susceptibility profiles.,本研究にはいくつかの限界が存在する。本研究では、感受性プロファイルが異なる複数の分離株コレクションが使用された。
〜にとって不可欠である,critical to,resistant to,subject to,Early confirmation of bloodstream infection and appropriate therapy is [   ] patient outcomes.,"Thus, early confirmation of BSI and the consequent administration of appropriate antimicrobial therapy is critical to patient outcomes.",したがって、BSIの早期確認とそれに伴う適切な抗菌薬療法の投与は、患者のアウトカムにとって不可欠である。
課題に対処する,address challenges,pose threats,ignore factors,"To [   ] in BSI diagnosis, we evaluated the performance of the new testing system.","To address challenges in BSI diagnosis and AST, we evaluated the performance of the VITEK REVEAL system using the Accelerate Pheno as the reference standard of care method.",BSI診断およびASTにおける課題に対処するため、我々は標準治療比較法としてAccelerate Phenoを用い、VITEK REVEALシステムの性能を評価した。
〜に従って / 〜に準拠して,in accordance with,in contrast to,with the exception of,Testing was performed [   ] the protocol's inclusion criteria and manufacturer's instructions.,"VITEK REVEAL is optimized for use with positive blood culture samples within 16 h of sample positivity, in accordance with the protocol’s inclusion criteria and IFU.",VITEK REVEALは、プロトコルの選択基準および使用説明書（IFU）に従い、サンプル陽性判定から16時間以内の陽性血液培養サンプルでの使用に最適化されている。
〜と一致する / 整合する,aligned with,interfered with,originated from,"In instances of discordance, the reference laboratory results more often [   ] the new system.","In instances of discordance between the two instruments, BMD results more often aligned with the VITEK REVEAL, favoring it in over half of the cases.",2つの機器間で不一致が生じた事例において、BMDの結果はVITEK REVEALと一致することが多く、半数以上のケースでそれを支持していた。
知見を裏付ける,corroborate findings,contradict evidence,undermine conclusions,"When analyzing sequential data, our experimental results [   ] reported by previous studies.","When analyzing sequential TTR by resistance groups (resistant and susceptible/intermediate organisms), our data corroborate findings by Menchinelli et al.",耐性グループ（耐性株および感性/中間株）ごとに逐次TTRを分析した際、我々のデータはメンチネリらの知見を裏付けるものであった。
公衆衛生上の懸念を引き起こす / もたらす,poses a public health concern,provides a clinical solution,clears a regulatory hurdle,The emergence and spread of drug-resistant infections [   ] worldwide.,Carbapenem-resistant organisms (CROs) are a critical public health concern worldwide due to increasing prevalence and limited therapeutic options.,カルバペネム耐性菌（CRO）は、有病率の増加と治療選択肢の限定により、世界中で重大な公衆衛生上の懸念となっている。
〜に固有の / 伴う,inherent to,superior to,irrelevant to,This limitation reflects a broader challenge [   ] phenotypic assays.,"This limitation reflects a broader challenge inherent to inhibitor-based assays, where overlapping or masked enzyme activity may complicate interpretation.",この限界は、酵素活性の重複や覆い隠しが解釈を複雑にする可能性があるという、阻害剤ベースの検査法に固有のより広範な課題を反映している。
〜の一般化可能性（汎用性）を制限する,limits the generalizability of,enhances the validity of,extends the duration of,The small number of isolates included in that study [   ] these findings to other settings.,"However, only a limited number of OXA-48-like producers (n = 19) were included in that study, reflecting their low prevalence in the United States, which limits the generalizability of these findings to other epidemiological contexts.",しかし、米国での有病率の低さを反映して、その研究に含まれたOXA-48様産生菌は限られた数（n = 19）のみであり、これが他の疫学的文脈へのこれらの知見の一般化可能性を制限している。
〜に沿って / 調和して,in alignment with,in preference to,in contrast with,These expert rules support a more targeted antibiotic therapy [   ] recent recommendations.,"These rules aim to improve the interpretability of AST reports and support a more targeted antibiotic therapy in alignment with recent recommendations, with the goals to optimize the use of antibiotics.",これらのルールは、抗菌薬使用の最適化を目的として、最近の推奨事項に沿ってAST報告の解釈可能性を向上させ、より標的を絞った抗菌薬療法を支援することを目的としている。
〜の臨床的有用性を損なう,endangering the clinical utility,improving the overall efficacy,facilitating the rapid adoption,"Carbapenem resistance poses an urgent global health threat, [   ] of these critical antibiotics.","Carbapenem resistance poses an urgent global health threat, endangering the clinical utility of these critical antibiotics.",カルバペネム耐性は緊急の地球規模の健康の脅威であり、これらの重要な抗菌薬の臨床的有用性を損なっている。
〜のために温存される / 留保される,held in reserve,discarded in advance,administered at random,These last-resort drugs are [   ] to target multidrug-resistant bacterial pathogens.,These drugs are considered antibiotics of last resort and are held in reserve to target multidrug-resistant bacterial pathogens.,これらの薬剤は最終手段の抗菌薬とみなされており、多剤耐性細菌病原体を標的とするために温存されている。
〜に対して低い感度を示す,exhibits poor sensitivity,demonstrates high accuracy,maintains strong affinity,Some laboratories have found that the rapid test [   ] for enzymes with weaker hydrolytic activity.,"Although this test has a drastically reduced turnaround time compared to the mCIM, some labs have found that the CARBA-NP test exhibits poor sensitivity for carbapenemases with weaker hydrolytic activity (e.g., OXA-48-like).",この検査はmCIMと比較してターンアラウンド時間が大幅に短縮されているものの、CARBA-NP検査は加水分解活性が弱いカルバペネマーゼ（OXA-48様など）に対して低い感度を示すことが一部のラボで報告されている。
〜の必要性をなくす / 不要にする,negate the need for,increase the risk of,pave the way to,Direct detection from clinical swabs would [   ] overnight culturing of isolates prior to testing.,"This would negate the need for overnight culturing of potential CPE isolates prior to testing, as is typically required for phenotypic CPE testing methods, including the resaCPE test described here.",これにより、ここに記載したresaCPE検査を含む表現型CPE検査法で通常要求されるような、検査前にCPEの可能性がある分離株を徹夜で培養する必要がなくなる。
〜の必要性を強調する / 浮き彫りにする,highlight the need for,eliminate the possibility of,reduce the dependence on,High mortality rates associated with severe sepsis [   ] more rapid diagnostic tools.,The high mortality and morbidity rates associated with sepsis highlight the need for more rapid diagnosis and treatment with the most effective antimicrobial therapy.,敗血症に伴う高い死亡率および罹患率は、最も効果的な抗菌薬療法によるより迅速な診断と治療の必要性を強調している。
閾値を下回る,fell below the threshold,reached the maximum,exceeded the limit,"For the specific bacterial group, only one drug combination [   ] established for categorical agreement.","For the Enterobacterales group, only ampicillin/sulbactam (EA, 63.8%; CA 53.6%) fell below the 90% threshold.",Enterobacterales群において、アンピシリン/スルバクタム（EA、63.8％；CA、53.6％）のみが90％の閾値を下回った。
〜に対する重大な脅威として浮上した,emerged as a significant threat to,evolved into a primary cure for,remained as a minor concern for,Multidrug-resistant pathogens have [   ] public health globally.,Carbapenemase-producing Enterobacterales (CPE) have emerged as a significant threat to healthcare worldwide ( 1 ).,カルバペネマーゼ産生腸内細菌目細菌（CPE）は、世界中の医療に対する重大な脅威として浮上している。
〜の標準的基準（ゴールドスタンダード）であり続けている,remains the gold standard for,is considered a minor option for,serves as a preliminary test for,Culture methods [   ] the diagnosis of systemic bacterial infections.,"While broth microdilution (BMD) remains the gold standard for determining carbapenem MICs, its extensive hands-on time makes it impractical for diagnostic laboratories.",微小液体希釈法（BMD）はカルバペネムのMIC測定における標準的基準（ゴールドスタンダード）であり続けているが、その膨大な手技時間が検査室での実用性を低くしている。
〜を評価するために比較研究を行った,conducted a comparative study to,performed a clinical trial of,designed a descriptive review on,We [   ] evaluate the performance of two diagnostic assays.,"Therefore, we conducted a comparative study to evaluate the performance of disk diffusion (DD), gradient test (ETEST), and VITEK 2 in comparison with BMD as the reference method for OXA-48-like CPE.",したがって、我々はOXA-48様CPEに対する参照法としてのBMDと比較して、ディスク拡散法（DD）、グラジエント法（ETEST）、およびVITEK 2の性能を評価するために比較研究を行った。
〜の間の不一致の場合には,In case of discrepancies between,Due to similarities among,In accordance with variations in,"[   ] the initial test and the retest, a third evaluation was performed.","In case of discrepancies between the reference method and a derivative method (>2 dilutions for an MIC method or categorical discrepancy for DD), the isolate was retested to exclude any technical error before the final analysis.",参照法と派生法との間に不一致が生じた場合（MIC法で2倍希釈段階を超える差、またはDDでのカテゴリーの不一致）、最終解析の前に技術的エラーを排除するため菌株を再検査した。
〜に従って解釈された,were interpreted according to,were modified regardless of,were dismissed based on,Results [   ] EUCAST clinical breakpoints.,Results were interpreted according to the European Committee on Antimicrobial Susceptibility Testing (EUCAST) clinical breakpoints (v14.0) ( 22 ).,結果は欧州臨床微生物抗微生物薬ブレイクポイント委員会（EUCAST）の臨床ブレイクポイントに従って解釈された。
統計的に有意であるとみなされた,was considered significant,was proved invalid,was deemed inconclusive,A P value < 0.05 [   ] in all statistical analyses.,A P value <0.05 was considered significant.,P値0.05未満を統計的に有意とみなした。
対照的に / これに対して,In contrast,As a consequence,On average,"[   ], the highest EA for imipenem (90.5%) was observed with VITEK 2 AST-N428.","In contrast, the highest EA for imipenem (90.5%) was observed with VITEK 2 AST-N428.",対照的に、イミペネムの最高EA（90.5%）はVITEK 2 AST-N428で観察された。
〜する傾向があることを指摘している,pointing out a tendency to,ignoring the probability of,demonstrating a resistance to,"The experimental bias was high, [   ] overestimate resistance rates.","Bias was >30% for ertapenem and meropenem with all VITEK cards in the OXA-48-like group and for ertapenem with VITEK 2 AST-N223 and VITEK 2 AST-N432 cards in the control group, pointing out a tendency to overestimate MICs for these antibiotics.",OXA-48様群のすべてのVITEKカードにおけるエルタペネムおよびメロペネム、ならびに対照群のVITEK 2 AST-N223およびAST-N432カードにおけるエルタペネムでバイアスが30%を超え、これらの抗菌薬のMICを過大評価する傾向があることを指摘している。
すべての〜において一貫してより高い,consistently higher across all,highly variable throughout,remarkably lower despite,Categorical agreement was [   ] testing methods.,"In the OXA-48-like group, CA for ertapenem was consistently higher (93.5%–98.1%) across all methods compared to imipenem (59.8%–81.4%) and meropenem (78.8%–95.3%) ( Table 3 ).",OXA-48様群において、エルタペネムのCAはイミペネム（59.8%〜81.4%）およびメロペネム（78.8%〜95.3%）と比較して、すべての方法において一貫して高かった（93.5%〜98.1%）。
本研究にはいくつかの限界があった,There were some limitations to this study,No restrictions were found in this trial,Several exceptions were ignored during research,"[   ], such as the small sample size and single-center design.","There were some limitations to this study, e.g., using a commercial BMD assay as the gold standard, testing each isolate only once with each method, and employing a single reader for BMD, DD, and ETEST.",本研究には、市販のBMD測定法をゴールドスタンダードとして使用したこと、各菌株を各方法で1回しかテストしなかったこと、BMD・DD・ETESTの判定を単一の判定者が行ったことなど、いくつかの限界があった。
〜において特に極めて重要な役割を果たした,was especially pivotal in,was marginally involved in,was completely ineffective for,Plasmid dissemination [   ] the global spread of resistance genes.,The IncX3 plasmid spread among different Enterobacterales members was especially pivotal in the global spread of blaOXA-181.,異なる腸内細菌目細菌間でのIncX3プラスミドの拡散は、blaOXA-181の世界的な広がりにおいて特に極めて重要な役割を果たした。
時間の経過とともに頻度が増加している,are increasing in frequency over time,have remained entirely stable globally,are rapidly declining in prevalence,Bacteria harboring both resistance determinants [   ].,Bacteria with OXA-48-like variants and NDMs are increasing in frequency over time ( 18 ).,OXA-48様変異株とNDMを両方保有する細菌は、時間の経過とともに頻度が増加している。
〜の可能性を秘めている,have the potential to,lack the capability of,show no interest in,These newly identified mutations [   ] alter therapeutic outcomes.,K. pneumoniae and E. coli with OXA-48-like carbapenemases are forces to be reckoned with and have the potential to end the carbapenem era.,OXA-48様カルバペネマーゼを産生する肺炎桿菌や大腸菌は軽視できない存在であり、カルバペネム時代を終わらせる可能性を秘めている。
わずか〜のうちに,In a mere,After a prolonged,Over a gradual,"[   ] 10–20 years, bacteria with these enzymes have spread globally.","In a mere 10–20 years, bacteria with these enzymes have spread globally and, in certain regions, are seriously undermining the effect of carbapenem therapy.",わずか10〜20年のうちに、これらの酵素を持つ細菌は世界中に広がり、一部の地域ではカルバペネム治療の効果を深刻に脅かしている。
〜することが不可欠である / 必要不可欠である,it is imperative to,it is optional to,it is irrelevant to,"Before implementing direct testing, [   ] understand local epidemiology.","Before clinical laboratories implement OXA-48-like testing directly on specimens, it is imperative to know are OXA-48-like non-carbapenemases are circulating in their regions.",臨床検査室が検体からの直接OXA-48様検査を導入する前に、自地域で非カルバペネマーゼ型OXA-48様酵素が流行しているか知ることが不可欠である。
〜に重大な脅威をもたらす,pose a major threat to,make a major benefit for,pose a minor issue in,Carbapenem-resistant organisms [   ] global health due to limited therapeutic options.,Carbapenem-resistant organisms (CROs) pose a major threat to global health due to limited therapeutic options and their capacity for rapid dissemination.,カルバペネム耐性菌（CRO）は、治療選択肢が限られていることや迅速な拡散能力を持つことから、世界的な保健衛生に重大な脅威をもたらしている。
〜にとって不可欠である,is essential for,is optional to,is detrimental for,Rapid and reliable detection of carbapenemase-producing Enterobacterales [   ] infection control.,"Rapid and reliable detection of carbapenemase-producing Enterobacterales (CPE) is essential for infection control, epidemiological surveillance, and optimized antimicrobial therapy.",カルバペネム産生腸内細菌目細菌（CPE）の迅速かつ信頼性の高い検出は、感染対策、疫学調査、および最適な抗菌薬療法にとって不可欠である。
〜において極めて重要な役割を果たす,play a critical role in,take a minimal step on,form a slight factor for,Laboratory-developed methods [   ] guiding targeted antimicrobial therapy.,"In this context, laboratory-developed methods, such as combination testing of aztreonam and ceftazidime-avibactam, play a critical role in guiding therapy.",このような状況において、アズトレオナムとセフタジジム-アビバクタムの併用試験などの自家検査法（LDT）は、治療方針の決定において極めて重要な役割を果たしている。
公衆衛生上の懸念（事項）,public health concern,private medical interest,social insurance issue,Metallo-beta-lactamase-producing pathogens represent a global [   ].,Metallo-beta-lactamase (MBL)-producing Enterobacterales are a global public health concern.,メタロ-β-ラクタマーゼ（MBL）産生腸内細菌目細菌は、世界的な公衆衛生上の懸念事項である。
〜することを目指した・試みた,sought to,failed to,refused to,We [   ] compare the performance of four phenotypic methods across different laboratories.,"We sought to compare the performance of four phenotypic methods, up to three reagent manufacturers, and two media manufacturers.",私たちは、4つの表現型検査法、最大3社の試薬メーカー、および2社の培地メーカーの性能を比較することを目指した。
〜から〜の範囲に及んだ,ranged from,stayed between,shifted into,The essential agreement [   ] 46.1% to 62.7% across the testing sites.,The SS essential agreement ranged from 46.1% to 62.7% for JHU and 54.9% to 92.2% for CDC.,SSの基本一致率は、JHUで46.1%から62.7%、CDCで54.9%から92.2%の範囲に及んだ。
〜と比較して,compared to,attached with,divided by,Our study evaluates several laboratory-developed tests [   ] reference broth microdilution.,Our study evaluates several of the more common laboratory-developed tests compared to reference broth microdilution and found that broth disk elution was the most accurate...,本研究では、基準となる微量液体希釈法と比較して、より一般的な幾つかの自家検査法を評価し、ブロスディスク溶出法が最も正確であることを突き止めた。
〜を考慮して・〜に照らして,in light of,in spite of,in front of,Revisions to the detection method were discussed [   ] increasing co-production of carbapenemases.,Revisions to the EDTA-modified carbapenem inactivation method (eCIM) are discussed in light of increasing co-production of metallo-beta-lactamase and serine-carbapenemases.,メタロ-β-ラクタマーゼとセリン-カルバペネマゼの重複産生の増加に照らして、EDTA変性カルバペネム不活性化法（eCIM）の改訂について議論されている。
〜の役割を浮き彫りにする・強調する,highlights the role of,diminishes the need for,hides the function of,Reintegration of diagnostic testing into clinical workflows [   ] the laboratory as a critical component.,Reintegration of carbapenemase testing into clinical workflows highlights the role of the clinical microbiology laboratory as a critical component of antimicrobial stewardship.,臨床ワークフローへのカルバペネマゼ試験の再統合は、抗菌薬適正使用支援（スチュワードシップ）の重要な構成要素としての臨床微生物検査室の役割を強調している。
最も懸念される,of greatest concern,of minor importance,of no consequence,"Among these resistant organisms, carbapenemase-producing strains are [   ].","Among these, carbapenemase-producing (CP) strains are of greatest concern, as they hydrolyze most β-lactams, and carbapenemase genes are readily spread via mobile genetic elements.",これらの中で、カルバペネム産生（CP）株はほとんどのβ-ラクタム剤を加水分解するため、最も懸念されている。
現在利用可能な,currently available,formerly neglected,potentially avoided,"Infections caused by these pathogens are hard to treat, with few effective agents [   ].","Infections caused by these pathogens are often hard to treat, with few effective agents currently available.",これらの病原体による感染症は治療が困難であることが多く、現在利用可能な有効な薬剤はほとんどない。
同様の〜を示した,demonstrated similar,predicted opposite,ignored equal,Both algorithms [   ] sensitivities and specificities for carbapenemase detection.,The VITEK2 N436/AES and CA-SFM algorithm demonstrated similar sensitivities (93.8% vs 97.2%) and specificities (53.5% vs 49.5%) for CPE detection.,VITEK2 N436/AESおよびCA-SFMアルゴリズムは、CPE検出において同様の感度（93.8%対97.2%）および特異度（53.5%対49.5%）を示した。
重要な〜に対処する・埋める,addressing an important,worsening a critical,creating a severe,"Implementation of this rule improves detection, [   ] diagnostic gap.","The implementation of a dedicated rule significantly improves detection of difficult-to-identify OXA-244/OXA-484 producers, addressing an important diagnostic gap.",専用ルールの適用は、同定が困難なOXA-244/OXA-484産生菌の検出を大幅に改善し、重要な診断上の課題（ギャップ）を解決する。
〜（意思決定など）に情報を提供する・資する,to inform,to confuse,to delay,Differentiation of key resistance enzymes is essential [   ] therapeutic decisions.,"The 2025 CLSI M100 update now recommends carbapenemase testing for most Enterobacterales resistant to at least one carbapenem, emphasizing differentiation of key enzymes, such as KPC, NDM, and OXA-48-like, to inform therapeutic decisions and support antimicrobial stewardship.",2025年版CLSI M100改訂では、少なくとも1つのカルバペネムに耐性を示すほとんどの腸内細菌目細菌に対してカルバペネマゼ試験を推奨しており、治療決定に資するとともに抗菌薬スチュワードシップを支援するために、KPC、NDM、OXA-48類似などの主要な酵素の鑑別を強調している。
このような状況において・文脈において,In this context,On the contrary,By contrast,"[   ], laboratory-developed methods play a critical role in guiding targeted therapy.","In this context, laboratory-developed methods, such as combination testing of aztreonam and ceftazidime-avibactam, play a critical role in guiding therapy.",このような状況において、アズトレオナムとセフタジジム-アビバクタムの併用試験などの自家検査法は、治療決定を導く上で重要な役割を果たしている。
依然として困難である,remains challenging,is easily solved,becomes simplified,Detection of GES-type carbapenemases [   ] because of their low prevalence.,Detection of GES-type carbapenemases remains challenging because of their low prevalence and frequently weak hydrolytic activity against carbapenems.,GES型カルバペネマーゼの検出は、その流行率の低さとカルバペネムに対する加水分解活性がしばしば弱いことから、依然として困難である。
〜を必要とする,requires,prevents,eliminates,The increasing prevalence of carbapenemase-producing Enterobacterales [   ] reliable diagnostic tools.,The increasing prevalence of carbapenemase-producing Enterobacterales (CPE) requires reliable diagnostic tools.,カルバペネマーゼ産生腸内細菌目細菌（CPE）の流行拡大には、信頼性の高い診断ツールが必要とされている。
